fighter,opponent,odds,event,date
Drew Dober,Matt Frevola,1.29,UFC Fight Night 225,
Drew Dober,Sean Spencer,2.85,UFC: The Ultimate Fighter 18 Finale,
Drew Dober,Kyle Prepolec,1.33,UFC Fight Night,
Drew Dober,Ricky Glenn,1.29,UFC Fight Night,
Drew Dober,Jason Gonzalez,1.56,UFC 203: Miocic vs. Overeem,
Kyle Prepolec,Jason Fischer,,Bellator Fighting Championship 76,
Kyle Prepolec,Benoit Saint-Denis,7.5,UFC,
Kyle Prepolec,Nordine Taleb,1.74,UFC on ESPN+ 9: Iaquinta vs. Cowboy,
Kyle Prepolec,Drew Dober,3.5,UFC Fight Night,
Kyle Prepolec,Austin Hubbard,2.7,UFC on ESPN+ 16: Cowboy vs. Gaethje,
Ravena Oliveira,Tainara Lisboa,4,UFC Fight Night,
Ravena Oliveira,Stephanie Luciano,3.75,UFC Fight Night,
Stephanie Luciano,Talita Alencar,1.65,UFC,
Stephanie Luciano,Michele Oliveira,2.55,LFA 111,
Stephanie Luciano,Sam Hughes,1.38,UFC,
Stephanie Luciano,Ravena Oliveira,1.31,UFC Fight Night,
Stephanie Luciano,Talita Alencar,2.63,Contender Series,
Azamat Bekoev,Chris Honeycutt,1.8,ACA 122: Johnson vs. Poberezhets,
Azamat Bekoev,Lucas Fernando,1.4,LFA,
Azamat Bekoev,Renato Valente,1.2,LFA 152,
Azamat Bekoev,Zachary Reese,1.52,UFC,
Azamat Bekoev,Dylan Budka,1.29,LFA,
Azamat Bekoev,Chauncey Foxworth,1.36,LFA,
Azamat Bekoev,Ryan Loder,1.42,UFC,
Azamat Bekoev,Yousri Belgaroui,1.2,UFC Fight Night,
Azamat Bekoev,Rafal Haratyk,1.71,ACA 128,
Yousri Belgaroui,Samir Zaidi,1.13,UAE Warriors,
Yousri Belgaroui,Marco Tulio Silva,1.8,Contender Series,
Yousri Belgaroui,Mohamad Osseili,2.4,UAE Warriors 31,
Yousri Belgaroui,Ahmed Sami,1.87,UAE Warriors 25,
Yousri Belgaroui,Azamat Bekoev,4.85,UFC Fight Night,
Yousri Belgaroui,Taiga Iwasaki,1.25,Contender Series,
Melissa Croden,Jacqueline Cavalcanti,2.35,LFA 157,
Melissa Croden,Evelyn Martins,1.42,Titan FC 67: Sabatello vs. Blackshear,
Melissa Croden,Tainara Lisboa,2.7,UFC Fight Night,
Melissa Croden,Ashley Deen,1.25,LFA,
Melissa Croden,Katharina Lehner,1.4,LFA,
Tainara Lisboa,Jessica-Rose Clark,2.35,UFC Fight Night: Smith vs Walker,
Tainara Lisboa,Luana Santos,1.87,UFC,
Tainara Lisboa,Ravena Oliveira,1.25,UFC Fight Night,
Tainara Lisboa,Melissa Croden,1.5,UFC Fight Night,
,,,,
Ciryl Gane,Derrick Lewis,1.31,UFC 265: Lewis vs. Gane,
Ciryl Gane,Junior Dos Santos,1.37,UFC 256: Figueiredo vs. Moreno,
Ciryl Gane,Tanner Boser,1.36,UFC on ESPN+ 23: Edgar vs. The Korean Zombie,
Ciryl Gane,Alexander Volkov,1.42,UFC,
Ciryl Gane,Jairzinho Rozenstruik,1.33,UFC Fight Night 186: Rozenstruik vs. Gane,
Ciryl Gane,Francis Ngannou,2.65,UFC 270,
Ciryl Gane,Alexander Volkov,1.74,UFC Fight Night 190: Gane vs. Volkov,
Ciryl Gane,Jon Jones,1.6,UFC 285,
Ciryl Gane,Tom Aspinall,3.95,UFC 321 Odds,
Ciryl Gane,Don'tale Mayes,1.29,UFC on ESPN+ 20: Maia vs. Askren,
Ciryl Gane,Sergey Spivak,1.5,UFC on ESPN: Gane vs. Spivak,
Ciryl Gane,Tai Tuivasa,1.33,UFC Fight Night: Gane vs. Tuivasa,
Tom Aspinall,Alexander Volkov,1.28,Unconfirmed Fights,
Tom Aspinall,Curtis Blaydes,1.25,Unconfirmed Fights,
Tom Aspinall,Ciryl Gane,1.24,UFC 321 Odds,
Tom Aspinall,Sergei Pavlovich,1.62,UFC,
Tom Aspinall,Sergey Pavlovich,1.28,Unconfirmed Fights,
Tom Aspinall,Alex Pereira,1.26,Unconfirmed Fights,
Tom Aspinall,Curtis Blaydes,1.51,UFC,
Tom Aspinall,Marcin Tybura,1.3,UFC 292,
Tom Aspinall,Sofiane Boukichou,,Cage Warriors 101: Aspinall vs. Boukichou,
Tom Aspinall,Jon Jones,1.7,UFC,
Tom Aspinall,Andrei Arlovski,1.36,UFC Fight Night 185: Blaydes vs. Lewis,
